sexe,preusuel,annais,dpt,nombre
1,CAMILLE,2009,61,7
1,CAMILLE,2009,62,6
1,CAMILLE,2009,63,7
1,CAMILLE,2009,64,6
1,CAMILLE,2009,67,11
1,CAMILLE,2009,69,28
1,CAMILLE,2009,71,5
1,CAMILLE,2009,72,7
1,CAMILLE,2009,73,3
1,CAMILLE,2009,74,7
1,CAMILLE,2009,75,43
1,CAMILLE,2009,76,10
1,CAMILLE,2009,77,10
1,CAMILLE,2009,78,12
1,CAMILLE,2009,79,5
1,CAMILLE,2009,80,8
1,CAMILLE,2009,83,8
1,CAMILLE,2009,84,5
1,CAMILLE,2009,85,3
1,CAMILLE,2009,86,7
1,CAMILLE,2009,87,3
1,CAMILLE,2009,89,6
1,CAMILLE,2009,91,5
1,CAMILLE,2009,92,21
1,CAMILLE,2009,93,6
1,CAMILLE,2009,94,4
1,CAMILLE,2009,95,3
1,CAMILLE,2010,01,8
1,CAMILLE,2010,02,6
1,CAMILLE,2010,03,6
1,CAMILLE,2010,06,8
1,CAMILLE,2010,07,7
1,CAMILLE,2010,10,6
1,CAMILLE,2010,11,4
1,CAMILLE,2010,12,4
1,CAMILLE,2010,13,21
1,CAMILLE,2010,14,7
1,CAMILLE,2010,16,3
1,CAMILLE,2010,17,11
1,CAMILLE,2010,18,5
1,CAMILLE,2010,19,4
1,CAMILLE,2010,20,5
1,CAMILLE,2010,21,6
1,CAMILLE,2010,22,5
1,CAMILLE,2010,25,7
1,CAMILLE,2010,26,7
1,CAMILLE,2010,27,3
1,CAMILLE,2010,28,4
1,CAMILLE,2010,29,6
1,CAMILLE,2010,30,6
1,CAMILLE,2010,31,18
1,CAMILLE,2010,33,20
1,CAMILLE,2010,34,7
1,CAMILLE,2010,35,17
1,CAMILLE,2010,37,10
1,CAMILLE,2010,38,14
1,CAMILLE,2010,40,3
1,CAMILLE,2010,42,10
1,CAMILLE,2010,44,29
1,CAMILLE,2010,45,8
1,CAMILLE,2010,49,16
1,CAMILLE,2010,50,4
1,CAMILLE,2010,51,7
1,CAMILLE,2010,53,7
1,CAMILLE,2010,54,6
1,CAMILLE,2010,56,5
1,CAMILLE,2010,57,3
1,CAMILLE,2010,59,29
1,CAMILLE,2010,60,9
1,CAMILLE,2010,61,4
1,CAMILLE,2010,62,5
1,CAMILLE,2010,63,11
1,CAMILLE,2010,64,7
1,CAMILLE,2010,65,3
1,CAMILLE,2010,66,4
1,CAMILLE,2010,67,5
1,CAMILLE,2010,68,4
1,CAMILLE,2010,69,36
1,CAMILLE,2010,71,6
1,CAMILLE,2010,72,9
1,CAMILLE,2010,73,3
1,CAMILLE,2010,74,9
1,CAMILLE,2010,75,61
1,CAMILLE,2010,76,14
1,CAMILLE,2010,77,7
1,CAMILLE,2010,78,13
1,CAMILLE,2010,79,4
1,CAMILLE,2010,80,5
1,CAMILLE,2010,83,14
1,CAMILLE,2010,84,10
1,CAMILLE,2010,85,7
1,CAMILLE,2010,86,11
1,CAMILLE,2010,87,4
1,CAMILLE,2010,91,4
1,CAMILLE,2010,92,24
1,CAMILLE,2010,93,7
1,CAMILLE,2010,94,13
1,CAMILLE,2010,95,6
1,CAMILLE,2011,02,3
1,CAMILLE,2011,03,4
1,CAMILLE,2011,04,3
1,CAMILLE,2011,05,4
1,CAMILLE,2011,06,11
1,CAMILLE,2011,07,7
1,CAMILLE,2011,08,3
