TRAGE_12;CE;SEXE;CS1;BRUT_EQTP;EQTP
55;C;H;6N;27093;82242
55;C;H;6Q;33184;378539
55;C;F;T;41505;623200
55;C;F;3;72310;137926
55;C;F;4;40440;147055
55;C;F;5;30261;247123
55;C;F;6N;24647;42422
55;C;F;6Q;29216;48674
55;N;E;T;36375;295348
55;N;E;3;70938;57501
55;N;E;4;38692;41847
55;N;E;5;26410;115209
55;N;E;6N;22361;47552
55;N;E;6Q;28251;33239
55;N;H;T;44759;99466
55;N;H;3;76728;32908
55;N;H;4;41782;10669
55;N;H;5;26897;14020
55;N;H;6N;22695;16927
55;N;H;6Q;28866;24942
55;N;F;T;32118;195882
55;N;F;3;63191;24593
55;N;F;4;37635;31178
55;N;F;5;26343;101188
55;N;F;6N;22176;30625
55;N;F;6Q;26402;8297
60;T;E;T;46238;1670041
60;T;E;3;83499;406485
60;T;E;4;44063;344654
60;T;E;5;30156;391968
60;T;E;6N;25703;140923
60;T;E;6Q;32767;386012
60;T;H;T;50932;973974
60;T;H;3;89322;273789
60;T;H;4;46322;189342
60;T;H;5;31816;97865
60;T;H;6N;26951;78074
60;T;H;6Q;33331;334905
60;T;F;T;39669;696067
60;T;F;3;71485;132696
60;T;F;4;41310;155312
60;T;F;5;29604;294103
60;T;F;6N;24153;62849
60;T;F;6Q;29072;51106
60;C;E;T;47994;1383626
60;C;E;3;85425;348480
60;C;E;4;44683;299091
60;C;E;5;31349;283921
60;C;E;6N;26972;99744
60;C;E;6Q;33151;352391
60;C;H;T;51355;874868
60;C;H;3;90930;239300
60;C;H;4;46510;176182
60;C;H;5;32404;84533
60;C;H;6N;27871;64127
60;C;H;6Q;33627;310725
60;C;F;T;42214;508758
60;C;F;3;73358;109180
60;C;F;4;42065;122908
60;C;F;5;30902;199388
60;C;F;6N;25353;35616
60;C;F;6Q;29595;41666
60;N;E;T;37751;286416
60;N;E;3;71929;58005
60;N;E;4;39993;45563
60;N;E;5;27021;108047
60;N;E;6N;22631;41179
60;N;E;6Q;28751;33621
60;N;H;T;47196;99107
